AAPL,FB,NFLX,V,XOM
384.140007,,211.200001,87.459999,72.82
377.479988,,203.969995,86.349998,71.010002
379.939991,,210.050001,87.449997,71.839996
384.619991,,208.749998,87.769997,71.650002
389.299992,,208.709997,89.58000200000001,72.639999
392.959995,,169.250002,90.5,74.010002
400.500008,,155.190001,90.849998,74.550003
411.630009,,143.750006,90.029999,73.699997
413.449997,,130.029999,92.839996,74.010002
412.140007,,128.500004,91.419998,71.970001
401.820011,,128.53000500000002,88.300003,69.239998
404.299988,,129.359997,90.080002,69.309998
403.170002,,132.21999499999998,90.279999,71.720001
399.260006,,127.489994,89.480003,72.910004
397.009995,,127.139999,87.629997,72.07
390.570007,,113.190001,87.690002,73.879997
381.319996,,113.270002,85.720001,72.629997
374.600002,,113.250002,84.260002,71.150002
